Country,Region,Population,Area (sq. mi.),Pop. Density (per sq. mi.),Coastline (coast/area ratio),Net migration,Infant mortality (per 1000 births),GDP ($ per capita),Literacy (%),Phones (per 1000),Arable (%),Crops (%),Other (%),Climate,Birthrate,Deathrate,Agriculture,Industry,Service,City,AQI Value,AQI Category,CO AQI Value,CO AQI Category,Ozone AQI Value,Ozone AQI Category,NO2 AQI Value,NO2 AQI Category,PM2.5 AQI Value,PM2.5 AQI Category,lat,lng
Canada,NORTHERN AMERICA                   ,33098932,9984670,"3,3","2,02","5,96","4,75",29800.0,"97,0","552,2","4,96","0,02","95,02",,"10,78","7,8","0,022","0,294","0,684",White Rock,71,Moderate,2,Good,22,Good,12,Good,71,Moderate,49.025,-122.8028
Canada,NORTHERN AMERICA                   ,33098932,9984670,"3,3","2,02","5,96","4,75",29800.0,"97,0","552,2","4,96","0,02","95,02",,"10,78","7,8","0,022","0,294","0,684",Moose Jaw,35,Good,1,Good,25,Good,0,Good,35,Good,50.3933,-105.5519
Canada,NORTHERN AMERICA                   ,33098932,9984670,"3,3","2,02","5,96","4,75",29800.0,"97,0","552,2","4,96","0,02","95,02",,"10,78","7,8","0,022","0,294","0,684",Saint John,39,Good,1,Good,26,Good,3,Good,39,Good,45.2806,-66.0761
Canada,NORTHERN AMERICA                   ,33098932,9984670,"3,3","2,02","5,96","4,75",29800.0,"97,0","552,2","4,96","0,02","95,02",,"10,78","7,8","0,022","0,294","0,684",Petawawa,29,Good,1,Good,23,Good,1,Good,29,Good,45.9,-77.2833
Canada,NORTHERN AMERICA                   ,33098932,9984670,"3,3","2,02","5,96","4,75",29800.0,"97,0","552,2","4,96","0,02","95,02",,"10,78","7,8","0,022","0,294","0,684",Strathmore,37,Good,1,Good,15,Good,5,Good,37,Good,51.0378,-113.4003
Canada,NORTHERN AMERICA                   ,33098932,9984670,"3,3","2,02","5,96","4,75",29800.0,"97,0","552,2","4,96","0,02","95,02",,"10,78","7,8","0,022","0,294","0,684",Shawinigan,34,Good,1,Good,32,Good,2,Good,34,Good,46.5667,-72.75
Canada,NORTHERN AMERICA                   ,33098932,9984670,"3,3","2,02","5,96","4,75",29800.0,"97,0","552,2","4,96","0,02","95,02",,"10,78","7,8","0,022","0,294","0,684",Charlottetown,25,Good,1,Good,25,Good,1,Good,22,Good,46.2403,-63.1347
Canada,NORTHERN AMERICA                   ,33098932,9984670,"3,3","2,02","5,96","4,75",29800.0,"97,0","552,2","4,96","0,02","95,02",,"10,78","7,8","0,022","0,294","0,684",Sherbrooke,23,Good,1,Good,23,Good,0,Good,18,Good,45.4,-71.9
Canada,NORTHERN AMERICA                   ,33098932,9984670,"3,3","2,02","5,96","4,75",29800.0,"97,0","552,2","4,96","0,02","95,02",,"10,78","7,8","0,022","0,294","0,684",Kitchener,55,Moderate,1,Good,36,Good,4,Good,55,Moderate,43.4186,-80.4728
Canada,NORTHERN AMERICA                   ,33098932,9984670,"3,3","2,02","5,96","4,75",29800.0,"97,0","552,2","4,96","0,02","95,02",,"10,78","7,8","0,022","0,294","0,684",Rimouski,32,Good,1,Good,22,Good,1,Good,32,Good,48.45,-68.53
Canada,NORTHERN AMERICA                   ,33098932,9984670,"3,3","2,02","5,96","4,75",29800.0,"97,0","552,2","4,96","0,02","95,02",,"10,78","7,8","0,022","0,294","0,684",Red Deer,32,Good,1,Good,32,Good,0,Good,9,Good,52.2681,-113.8111
Canada,NORTHERN AMERICA                   ,33098932,9984670,"3,3","2,02","5,96","4,75",29800.0,"97,0","552,2","4,96","0,02","95,02",,"10,78","7,8","0,022","0,294","0,684",Brantford,58,Moderate,1,Good,34,Good,7,Good,58,Moderate,43.1667,-80.25
Canada,NORTHERN AMERICA                   ,33098932,9984670,"3,3","2,02","5,96","4,75",29800.0,"97,0","552,2","4,96","0,02","95,02",,"10,78","7,8","0,022","0,294","0,684",Yorkton,25,Good,1,Good,22,Good,1,Good,25,Good,51.2139,-102.4628
Canada,NORTHERN AMERICA                   ,33098932,9984670,"3,3","2,02","5,96","4,75",29800.0,"97,0","552,2","4,96","0,02","95,02",,"10,78","7,8","0,022","0,294","0,684",Camrose,67,Moderate,1,Good,32,Good,2,Good,67,Moderate,53.0167,-112.8333
Canada,NORTHERN AMERICA                   ,33098932,9984670,"3,3","2,02","5,96","4,75",29800.0,"97,0","552,2","4,96","0,02","95,02",,"10,78","7,8","0,022","0,294","0,684",Kelowna,31,Good,1,Good,31,Good,2,Good,16,Good,49.8881,-119.4956
Canada,NORTHERN AMERICA                   ,33098932,9984670,"3,3","2,02","5,96","4,75",29800.0,"97,0","552,2","4,96","0,02","95,02",,"10,78","7,8","0,022","0,294","0,684",Sudbury,48,Good,1,Good,18,Good,1,Good,48,Good,51.5537,-0.3199
Canada,NORTHERN AMERICA                   ,33098932,9984670,"3,3","2,02","5,96","4,75",29800.0,"97,0","552,2","4,96","0,02","95,02",,"10,78","7,8","0,022","0,294","0,684",Sudbury,48,Good,1,Good,18,Good,1,Good,48,Good,46.49,-81.01
Canada,NORTHERN AMERICA                   ,33098932,9984670,"3,3","2,02","5,96","4,75",29800.0,"97,0","552,2","4,96","0,02","95,02",,"10,78","7,8","0,022","0,294","0,684",Sudbury,48,Good,1,Good,18,Good,1,Good,48,Good,42.3847,-71.4234
Canada,NORTHERN AMERICA                   ,33098932,9984670,"3,3","2,02","5,96","4,75",29800.0,"97,0","552,2","4,96","0,02","95,02",,"10,78","7,8","0,022","0,294","0,684",Sudbury,48,Good,1,Good,18,Good,1,Good,48,Good,52.0417,0.7282
Canada,NORTHERN AMERICA                   ,33098932,9984670,"3,3","2,02","5,96","4,75",29800.0,"97,0","552,2","4,96","0,02","95,02",,"10,78","7,8","0,022","0,294","0,684",Fort Erie,47,Good,1,Good,31,Good,1,Good,47,Good,42.9167,-79.0167
Canada,NORTHERN AMERICA                   ,33098932,9984670,"3,3","2,02","5,96","4,75",29800.0,"97,0","552,2","4,96","0,02","95,02",,"10,78","7,8","0,022","0,294","0,684",Leduc,46,Good,1,Good,24,Good,4,Good,46,Good,53.2594,-113.5492
Canada,NORTHERN AMERICA                   ,33098932,9984670,"3,3","2,02","5,96","4,75",29800.0,"97,0","552,2","4,96","0,02","95,02",,"10,78","7,8","0,022","0,294","0,684",Midland,36,Good,1,Good,21,Good,0,Good,36,Good,32.0243,-102.1147
Canada,NORTHERN AMERICA                   ,33098932,9984670,"3,3","2,02","5,96","4,75",29800.0,"97,0","552,2","4,96","0,02","95,02",,"10,78","7,8","0,022","0,294","0,684",Midland,36,Good,1,Good,21,Good,0,Good,36,Good,43.6241,-84.2319
Canada,NORTHERN AMERICA                   ,33098932,9984670,"3,3","2,02","5,96","4,75",29800.0,"97,0","552,2","4,96","0,02","95,02",,"10,78","7,8","0,022","0,294","0,684",Midland,36,Good,1,Good,21,Good,0,Good,36,Good,44.75,-79.8833
Canada,NORTHERN AMERICA                   ,33098932,9984670,"3,3","2,02","5,96","4,75",29800.0,"97,0","552,2","4,96","0,02","95,02",,"10,78","7,8","0,022","0,294","0,684",Midland,36,Good,1,Good,21,Good,0,Good,36,Good,47.1734,-122.412
Canada,NORTHERN AMERICA                   ,33098932,9984670,"3,3","2,02","5,96","4,75",29800.0,"97,0","552,2","4,96","0,02","95,02",,"10,78","7,8","0,022","0,294","0,684",Kenora,54,Moderate,1,Good,34,Good,0,Good,54,Moderate,49.7667,-94.4833
Canada,NORTHERN AMERICA                   ,33098932,9984670,"3,3","2,02","5,96","4,75",29800.0,"97,0","552,2","4,96","0,02","95,02",,"10,78","7,8","0,022","0,294","0,684",Kentville,57,Moderate,1,Good,50,Good,0,Good,57,Moderate,45.0775,-64.4958
Canada,NORTHERN AMERICA                   ,33098932,9984670,"3,3","2,02","5,96","4,75",29800.0,"97,0","552,2","4,96","0,02","95,02",,"10,78","7,8","0,022","0,294","0,684",Ingersoll,34,Good,1,Good,31,Good,3,Good,34,Good,43.0392,-80.8836
Canada,NORTHERN AMERICA                   ,33098932,9984670,"3,3","2,02","5,96","4,75",29800.0,"97,0","552,2","4,96","0,02","95,02",,"10,78","7,8","0,022","0,294","0,684",Quesnel,23,Good,1,Good,23,Good,0,Good,14,Good,52.9784,-122.4927
Canada,NORTHERN AMERICA                   ,33098932,9984670,"3,3","2,02","5,96","4,75",29800.0,"97,0","552,2","4,96","0,02","95,02",,"10,78","7,8","0,022","0,294","0,684",Lloydminster,38,Good,1,Good,33,Good,1,Good,38,Good,53.2783,-110.005
Canada,NORTHERN AMERICA                   ,33098932,9984670,"3,3","2,02","5,96","4,75",29800.0,"97,0","552,2","4,96","0,02","95,02",,"10,78","7,8","0,022","0,294","0,684",Lloydminster,38,Good,1,Good,33,Good,1,Good,38,Good,53.2807,-110.035
